set_id,family,subfamily,interpretation_layer,n_raw,n_present,broad_set_flag
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,122,116,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_endogenous_antigen,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,31,30,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_endogenous_peptide_antigen,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,24,23,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_exogenous_antigen,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,54,52,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_exogenous_peptide_antigen,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,45,43,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_exogenous_peptide_antigen_v_0fb1f7b4,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,10,10,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_exogenous_peptide_antigen_v_9a4e445d,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,31,29,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_peptide_antigen,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,73,68,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_peptide_antigen_via_mhc_class_i,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,38,37,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_peptide_antigen_via_mhc_class_ib,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,16,15,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_of_peptide_or_polysaccharide_a_8f8faa98,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,37,33,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_antigen_processing_and_presentation_via_mhc_class_ib,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,24,23,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_dendritic_cell_antigen_processing_and_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,16,15,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_mhc_class_ii_biosynthetic_process,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,20,20,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_peptide_antigen_assembly_with_mhc_class_ii_protein_complex,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,16,14,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_positive_regulation_of_antigen_processing_and_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,10,10,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_positive_regulation_of_mhc_class_ii_biosynthetic_process,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,15,15,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_regulation_of_antigen_processing_and_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,23,23,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_regulation_of_dendritic_cell_antigen_processing_and_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,11,11,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__gobp_t_cell_activation_via_t_cell_receptor_contact_with_antigen_bound_t_71839632,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,14,14,
family_union__antigen_presentation_ciita_26aca9ec__all__selected_atomic_sets,antigen_presentation_ciita_hla_escape,all,family_union,1758,1627,very_broad_gt_1000
family_union__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__selected_atomic_sets,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,family_union,1758,1627,very_broad_gt_1000
core_anchor__cd54_cd244_adhesion_niche__core_cd54_cd244_niche__expert_curated,cd54_cd244_adhesion_niche,core_cd54_cd244_niche,core_anchor,13,12,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_apoptotic_cleavage_of_cell_adhesion_proteins,cd54_cd244_adhesion_niche,adhesion_niche,effector,11,11,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_cell_extracellular_matrix_interactions,cd54_cd244_adhesion_niche,adhesion_niche,effector,18,18,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_degradation_of_the_extracellular_matrix,cd54_cd244_adhesion_niche,adhesion_niche,effector,140,140,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_extracellular_matrix_organization,cd54_cd244_adhesion_niche,adhesion_niche,effector,321,321,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_grb2_sos_provides_linkage_to_mapk_signaling_for_integrins,cd54_cd244_adhesion_niche,adhesion_niche,effector,15,15,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_immunoregulatory_interactions_between_a_lymphoid_and_a_non_lym_e050ce90,cd54_cd244_adhesion_niche,adhesion_niche,effector,191,187,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_integrin_cell_surface_interactions,cd54_cd244_adhesion_niche,adhesion_niche,effector,85,85,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_integrin_signaling,cd54_cd244_adhesion_niche,adhesion_niche,effector,27,27,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_mechanical_load_activates_signaling_by_piezo1_and_integrins_in_a41b5649,cd54_cd244_adhesion_niche,adhesion_niche,effector,17,17,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_non_integrin_membrane_ecm_interactions,cd54_cd244_adhesion_niche,adhesion_niche,effector,80,80,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_p130cas_linkage_to_mapk_signaling_for_integrins,cd54_cd244_adhesion_niche,adhesion_niche,effector,15,15,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_regulation_of_homotypic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,223,159,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_regulation_of_mitf_m_dependent_genes_involved_in_extracellular_e40e9e31,cd54_cd244_adhesion_niche,adhesion_niche,effector,12,12,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_sema3a_plexin_repulsion_signaling_by_inhibiting_integrin_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,14,14,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__reactome_turbulent_oscillatory_disturbed_flow_shear_stress_activates_si_70e9bf75,cd54_cd244_adhesion_niche,adhesion_niche,effector,31,31,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__wp_integrinmediated_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,102,100,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_calcium_dependent_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,48,48,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_calcium_independent_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,23,23,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,1578,1538,very_broad_gt_1000
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_cell_adhesion_mediated_by_integrin,cd54_cd244_adhesion_niche,adhesion_niche,effector,85,85,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_cell_adhesion_molecule_production,cd54_cd244_adhesion_niche,adhesion_niche,effector,22,10,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,1018,996,very_broad_gt_1000
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_cell_cell_adhesion_involved_in_gastrulation,cd54_cd244_adhesion_niche,adhesion_niche,effector,11,10,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_cell_cell_adhesion_mediated_by_cadherin,cd54_cd244_adhesion_niche,adhesion_niche,effector,61,61,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_cell_cell_adhesion_mediated_by_integrin,cd54_cd244_adhesion_niche,adhesion_niche,effector,30,30,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_epithelial_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,17,16,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_extracellular_matrix_assembly,cd54_cd244_adhesion_niche,adhesion_niche,effector,54,45,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_extracellular_matrix_constituent_secretion,cd54_cd244_adhesion_niche,adhesion_niche,effector,11,11,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_extracellular_matrix_disassembly,cd54_cd244_adhesion_niche,adhesion_niche,effector,72,65,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_heterophilic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,55,55,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_heterotypic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,62,61,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_homophilic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,178,177,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_homotypic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,105,105,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_integrin_activation,cd54_cd244_adhesion_niche,adhesion_niche,effector,27,27,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_integrin_mediated_signaling_pathway,cd54_cd244_adhesion_niche,adhesion_niche,effector,120,119,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_leukocyte_adhesion_to_vascular_endothelial_cell,cd54_cd244_adhesion_niche,adhesion_niche,effector,61,51,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_leukocyte_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,453,433,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_negative_regulation_of_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,331,308,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_negative_regulation_of_cell_adhesion_mediated_by_integrin,cd54_cd244_adhesion_niche,adhesion_niche,effector,15,15,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_negative_regulation_of_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,226,213,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_negative_regulation_of_cell_cell_adhesion_mediated_by_cadherin,cd54_cd244_adhesion_niche,adhesion_niche,effector,11,11,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_negative_regulation_of_extracellular_matrix_organization,cd54_cd244_adhesion_niche,adhesion_niche,effector,27,15,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_negative_regulation_of_homotypic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,13,13,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_negative_regulation_of_leukocyte_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,172,159,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_neuron_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,19,19,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,499,487,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_cell_adhesion_mediated_by_integrin,cd54_cd244_adhesion_niche,adhesion_niche,effector,23,23,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,339,331,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_cell_cell_adhesion_mediated_by_cadherin,cd54_cd244_adhesion_niche,adhesion_niche,effector,11,11,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_extracellular_matrix_disassembly,cd54_cd244_adhesion_niche,adhesion_niche,effector,12,11,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_extracellular_matrix_organization,cd54_cd244_adhesion_niche,adhesion_niche,effector,30,28,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_heterotypic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,13,13,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_homotypic_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,20,20,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_integrin_activation,cd54_cd244_adhesion_niche,adhesion_niche,effector,11,11,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_integrin_mediated_signaling_pathway,cd54_cd244_adhesion_niche,adhesion_niche,effector,13,13,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_leukocyte_adhesion_to_vascular_endothelial_cell,cd54_cd244_adhesion_niche,adhesion_niche,effector,26,24,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_positive_regulation_of_leukocyte_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,285,277,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_regulation_of_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,833,801,broad_gt_750
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_regulation_of_cell_adhesion_mediated_by_integrin,cd54_cd244_adhesion_niche,adhesion_niche,effector,49,49,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_regulation_of_cell_cell_adhesion,cd54_cd244_adhesion_niche,adhesion_niche,effector,533,514,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_regulation_of_cell_cell_adhesion_mediated_by_cadherin,cd54_cd244_adhesion_niche,adhesion_niche,effector,22,22,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_regulation_of_cell_cell_adhesion_mediated_by_integrin,cd54_cd244_adhesion_niche,adhesion_niche,effector,12,12,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_regulation_of_extracellular_matrix_assembly,cd54_cd244_adhesion_niche,adhesion_niche,effector,23,14,
atomic__cd54_cd244_adhesion_niche__adhesion_niche__gobp_regulation_of_extracellular_matrix_disassembly,cd54_cd244_adhesion_niche,adhesion_niche,effector,27,20,
family_union__cd54_cd244_adhesion_niche__adhesion_niche__selected_atomic_sets,cd54_cd244_adhesion_niche,adhesion_niche,family_union,2205,2077,very_broad_gt_1000
family_union__cd54_cd244_adhesion_niche__all__selected_atomic_sets,cd54_cd244_adhesion_niche,all,family_union,2205,2077,very_broad_gt_1000
family_union__hematopoietic_lineage_controls__all__selected_atomic_sets,hematopoietic_lineage_controls,all,family_union,824,796,broad_gt_750
family_union__hematopoietic_lineage_controls__lineage_composition__selected_atomic_sets,hematopoietic_lineage_controls,lineage_composition,family_union,824,796,broad_gt_750
atomic__hematopoietic_lineage_controls__lineage_composition__gavish_3ca_metaprogram_macrophages_monocyte_secreted,hematopoietic_lineage_controls,lineage_composition,lineage_control,50,49,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_anterograde_dendritic_transport,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,11,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_axo_dendritic_transport,hematopoietic_lineage_controls,lineage_composition,lineage_control,89,89,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_cell_antigen_processing_and_presentation,hematopoietic_lineage_controls,lineage_composition,lineage_control,16,15,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_cell_apoptotic_process,hematopoietic_lineage_controls,lineage_composition,lineage_control,10,10,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_cell_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,26,26,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_cell_cytokine_production,hematopoietic_lineage_controls,lineage_composition,lineage_control,16,15,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_cell_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,54,53,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_cell_migration,hematopoietic_lineage_controls,lineage_composition,lineage_control,35,35,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_spine_development,hematopoietic_lineage_controls,lineage_composition,lineage_control,99,98,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_spine_maintenance,hematopoietic_lineage_controls,lineage_composition,lineage_control,24,23,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_spine_morphogenesis,hematopoietic_lineage_controls,lineage_composition,lineage_control,61,60,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_dendritic_transport,hematopoietic_lineage_controls,lineage_composition,lineage_control,17,17,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_granulocyte_activation,hematopoietic_lineage_controls,lineage_composition,lineage_control,58,56,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_granulocyte_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,122,120,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_granulocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,43,42,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_granulocyte_macrophage_colony_stimulating_factor_production,hematopoietic_lineage_controls,lineage_composition,lineage_control,17,16,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_granulocyte_migration,hematopoietic_lineage_controls,lineage_composition,lineage_control,149,147,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_hematopoietic_or_lymphoid_organ_development,hematopoietic_lineage_controls,lineage_composition,lineage_control,107,107,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_lymphocyte_migration_into_lymphoid_organs,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,11,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_lymphoid_progenitor_cell_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,24,24,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_megakaryocyte_development,hematopoietic_lineage_controls,lineage_composition,lineage_control,23,23,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_megakaryocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,70,55,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_monocyte_activation,hematopoietic_lineage_controls,lineage_composition,lineage_control,14,14,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_monocyte_chemotactic_protein_1_production,hematopoietic_lineage_controls,lineage_composition,lineage_control,21,20,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_monocyte_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,56,55,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_monocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,42,41,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_monocyte_extravasation,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,10,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_mucosa_associated_lymphoid_tissue_development,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,11,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_myeloid_dendritic_cell_activation,hematopoietic_lineage_controls,lineage_composition,lineage_control,32,32,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_myeloid_dendritic_cell_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,21,21,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_negative_regulation_of_dendritic_spine_development,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,11,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_negative_regulation_of_granulocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,10,10,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_dendritic_cell_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,10,10,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_dendritic_cell_cytokine_production,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,10,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_dendritic_spine_development,hematopoietic_lineage_controls,lineage_composition,lineage_control,42,41,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_dendritic_spine_morphogenesis,hematopoietic_lineage_controls,lineage_composition,lineage_control,20,19,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_granulocyte_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,27,27,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_megakaryocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,11,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_monocyte_chemotactic_protein_1_production,hematopoietic_lineage_controls,lineage_composition,lineage_control,15,14,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_monocyte_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,23,23,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_positive_regulation_of_monocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,10,10,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_dendritic_cell_antigen_processing_and_presentation,hematopoietic_lineage_controls,lineage_composition,lineage_control,11,11,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_dendritic_cell_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,12,12,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_dendritic_cell_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,16,15,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_dendritic_spine_development,hematopoietic_lineage_controls,lineage_composition,lineage_control,58,57,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_dendritic_spine_maintenance,hematopoietic_lineage_controls,lineage_composition,lineage_control,15,14,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_dendritic_spine_morphogenesis,hematopoietic_lineage_controls,lineage_composition,lineage_control,46,45,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_granulocyte_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,53,52,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_granulocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,17,16,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_lymphoid_progenitor_cell_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,12,12,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_megakaryocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,38,23,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_monocyte_chemotaxis,hematopoietic_lineage_controls,lineage_composition,lineage_control,32,31,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_regulation_of_monocyte_differentiation,hematopoietic_lineage_controls,lineage_composition,lineage_control,20,19,
atomic__hematopoietic_lineage_controls__lineage_composition__gobp_response_to_granulocyte_macrophage_colony_stimulating_factor,hematopoietic_lineage_controls,lineage_composition,lineage_control,12,12,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__beier_glioma_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,66,66,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__beier_glioma_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,40,39,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__bhattacharya_embryonic_stem_cell,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,84,80,
